strike,days_to_expiry,price,implied_volatility,delta,gamma,vega,theta,underlying_price,call_put
395.0,30,0.18,0.2500075,-0.3,0.0,0.0,0.0,561.02,-1
400.0,30,0.2,0.2500075,-0.3,0.0,0.0,0.0,561.02,-1
405.0,30,0.22,0.2500075,-0.3,0.0,0.0,0.0,561.02,-1
410.0,30,0.24,0.2500075,-0.3,0.0,0.0,0.0,561.02,-1
415.0,30,0.26,0.2500075,-0.3,0.0,0.0,0.0,561.02,-1
420.0,30,0.25,0.2500075,-0.3,0.0,0.0,0.0,561.02,-1
425.0,30,0.29,0.2500075,-0.3,0.0,0.0,0.0,561.02,-1
430.0,30,0.31,0.2500075,-0.3,0.0,0.0,0.0,561.02,-1
435.0,30,0.36,0.12500875,-0.3,0.0,0.0,0.0,561.02,-1
440.0,30,0.36,0.12500875,-0.3,0.0,0.0,0.0,561.02,-1
445.0,30,0.39,0.12500875,-0.3,0.0,0.0,0.0,561.02,-1
450.0,30,0.43,0.12500875,-0.3,0.0,0.0,0.0,561.02,-1
455.0,30,0.47,0.12500875,-0.3,0.0,0.0,0.0,561.02,-1
460.0,30,0.51,0.12500875,-0.3,0.0,0.0,0.0,561.02,-1
465.0,30,0.54,0.12500875,-0.3,0.0,0.0,0.0,561.02,-1
470.0,30,0.62,0.12500875,-0.3,0.0,0.0,0.0,561.02,-1
475.0,30,0.68,0.12500875,-0.3,0.0,0.0,0.0,561.02,-1
480.0,30,0.75,0.12500875,-0.3,0.0,0.0,0.0,561.02,-1
485.0,30,0.86,0.12500875,-0.3,0.0,0.0,0.0,561.02,-1
490.0,30,0.99,0.12500875,-0.3,0.0,0.0,0.0,561.02,-1
495.0,30,1.15,0.062509375,-0.3,0.0,0.0,0.0,561.02,-1
500.0,30,1.31,0.062509375,-0.3,0.0,0.0,0.0,561.02,-1
505.0,30,1.54,0.062509375,-0.3,0.0,0.0,0.0,561.02,-1
510.0,30,1.81,0.062509375,-0.3,0.0,0.0,0.0,561.02,-1
511.0,30,1.98,0.062509375,-0.3,0.0,0.0,0.0,561.02,-1
512.0,30,2.02,0.062509375,-0.3,0.0,0.0,0.0,561.02,-1
513.0,30,2.04,0.062509375,-0.3,0.0,0.0,0.0,561.02,-1
514.0,30,2.11,0.062509375,-0.3,0.0,0.0,0.0,561.02,-1
515.0,30,2.18,0.062509375,-0.3,0.0,0.0,0.0,561.02,-1
516.0,30,2.25,0.062509375,-0.3,0.0,0.0,0.0,561.02,-1
517.0,30,2.37,0.062509375,-0.3,0.0,0.0,0.0,561.02,-1
518.0,30,2.45,0.062509375,-0.3,0.0,0.0,0.0,561.02,-1
519.0,30,2.53,0.062509375,-0.3,0.0,0.0,0.0,561.02,-1
520.0,30,2.6,0.062509375,-0.3,0.0,0.0,0.0,561.02,-1
521.0,30,2.81,0.062509375,-0.3,0.0,0.0,0.0,561.02,-1
522.0,30,2.97,0.062509375,-0.3,0.0,0.0,0.0,561.02,-1
523.0,30,3.02,0.062509375,-0.3,0.0,0.0,0.0,561.02,-1
524.0,30,3.13,0.062509375,-0.3,0.0,0.0,0.0,561.02,-1
525.0,30,3.13,0.062509375,-0.3,0.0,0.0,0.0,561.02,-1
526.0,30,3.2,0.062509375,-0.3,0.0,0.0,0.0,561.02,-1
527.0,30,3.54,0.062509375,-0.3,0.0,0.0,0.0,561.02,-1
528.0,30,3.55,0.062509375,-0.3,0.0,0.0,0.0,561.02,-1
529.0,30,3.7,0.0312596875,-0.3,0.0,0.0,0.0,561.02,-1
530.0,30,3.82,0.0312596875,-0.3,0.0,0.0,0.0,561.02,-1
531.0,30,4.0,0.0312596875,-0.3,0.0,0.0,0.0,561.02,-1
532.0,30,4.1,0.0312596875,-0.3,0.0,0.0,0.0,561.02,-1
533.0,30,4.3,0.0312596875,-0.3,0.0,0.0,0.0,561.02,-1
534.0,30,4.63,0.0312596875,-0.3,0.0,0.0,0.0,561.02,-1
535.0,30,4.64,0.0312596875,-0.3,0.0,0.0,0.0,561.02,-1
536.0,30,4.94,0.0312596875,-0.3,0.0,0.0,0.0,561.02,-1
537.0,30,4.98,0.0312596875,-0.3,0.0,0.0,0.0,561.02,-1
538.0,30,5.37,0.0312596875,-0.3,0.0,0.0,0.0,561.02,-1
